Name,Q2,Q4_Switch,Q5,Q6_Gift
もろさん,9,挑戦,10,いつも刺激をありがとう！
ズコちゃん,7,安心,8,安心できました
さきぼん,8,確信,9,ビジョンが見えました
こうちゃん,6,充足,5,見てくれていて嬉しい
あけみさん,9,挑戦,10,またやりましょう
Kuniさん,5,静観,4,今は静観中
おんちゃん,8,確信,9,方向性が明確に
ふじもん,7,充足,7,サポート感謝です
遠藤さん,5,安心,3,応援してます
木村さん,10,確信,9,助かりました
石川さん,9,充足,8,ありがとう
斉藤さん,8,静観,3,勉強になります
中川さん,5,安心,5,応援してます
中島さん,7,確信,5,期待してます
小川さん,5,安心,4,ありがとう
山下さん,10,確信,8,期待してます
中川さん,8,確信,5,応援してます
吉田さん,7,静観,4,素晴らしい
山下さん,6,安心,8,素晴らしい
橋本さん,5,充足,7,素晴らしい
中島さん,6,挑戦,3,ありがとう
三浦さん,6,静観,8,勉強になります
山崎さん,7,安心,6,いいね
青木さん,10,静観,4,素晴らしい
阿部さん,8,挑戦,7,素晴らしい
田中さん,6,挑戦,7,素晴らしい
西村さん,7,静観,4,いいね
佐藤さん,8,充足,9,応援してます
高橋さん,6,挑戦,3,勉強になります
小川さん,5,静観,7,期待してます
岡田さん,4,静観,4,素晴らしい
太田さん,5,挑戦,3,素晴らしい
坂本さん,9,静観,5,応援してます
藤原さん,4,充足,5,期待してます
山口さん,10,安心,8,期待してます
鈴木さん,6,安心,6,ありがとう
高橋さん,10,確信,4,素晴らしい
渡辺さん,9,充足,10,期待してます
鈴木さん,10,安心,9,助かりました
太田さん,9,安心,4,ビジョンが見えました
中村さん,7,挑戦,3,ありがとう
前田さん,4,挑戦,9,今は静観中
中野さん,7,安心,9,サポート感謝です
森さん,9,安心,4,助かりました
中川さん,10,挑戦,9,いつも刺激をありがとう！
田中さん,9,静観,3,見てくれていて嬉しい
清水さん,9,挑戦,7,ビジョンが見えました
林さん,9,挑戦,10,方向性が明確に
佐藤さん,10,確信,6,またやりましょう
小林さん,10,充足,4,またやりましょう
吉田さん,6,静観,7,ビジョンが見えました
林さん,9,確信,7,助かりました
小川さん,6,安心,5,いいね
加藤さん,5,安心,4,素晴らしい
前田さん,10,挑戦,5,助かりました
斎藤さん,5,静観,8,期待してます
石川さん,8,静観,3,安心できました
小川さん,7,確信,3,勉強になります
木村さん,6,静観,6,期待してます
阿部さん,8,静観,9,素晴らしい
中島さん,10,挑戦,7,ビジョンが見えました
阿部さん,6,静観,6,今は静観中
遠藤さん,6,挑戦,7,いいね
藤田さん,6,安心,8,今は静観中
吉田さん,10,挑戦,7,またやりましょう
中村さん,10,挑戦,6,ありがとう
山口さん,9,静観,3,見てくれていて嬉しい
渡辺さん,10,確信,7,サポート感謝です
青木さん,7,充足,9,方向性が明確に
三浦さん,10,静観,8,今は静観中
松本さん,8,静観,10,またやりましょう
福田さん,5,安心,3,助かりました
林さん,7,静観,7,期待してます
松田さん,7,静観,7,安心できました
田中さん,5,充足,4,期待してます
岡田さん,10,挑戦,3,応援してます
坂本さん,8,充足,3,ビジョンが見えました
森さん,5,安心,10,見てくれていて嬉しい
佐々木さん,7,安心,5,勉強になります
長谷川さん,6,静観,8,ビジョンが見えました
前田さん,7,確信,7,素晴らしい
後藤さん,8,静観,3,サポート感謝です
太田さん,6,静観,10,サポート感謝です
石井さん,10,安心,10,見てくれていて嬉しい
清水さん,6,充足,7,助かりました
山下さん,5,静観,9,助かりました
藤井さん,5,安心,6,今は静観中
長谷川さん,7,安心,6,方向性が明確に
後藤さん,5,安心,6,方向性が明確に
佐藤さん,7,充足,9,サポート感謝です
藤原さん,4,静観,10,サポート感謝です
長谷川さん,9,安心,10,応援してます
佐々木さん,6,静観,6,素晴らしい
遠藤さん,7,充足,7,応援してます
岡本さん,6,充足,6,勉強になります
岡田さん,9,挑戦,6,今は静観中
坂本さん,7,充足,3,助かりました
田中さん,5,挑戦,8,見てくれていて嬉しい
伊藤さん,6,充足,7,期待してます
長谷川さん,9,充足,3,勉強になります
